Language,Family,Branch,L1 Speakers,L2 Speakers,Total Speakers
Portuguese,Indo-European,Romance,232400000,25200000,257700000
Bengali,Indo-European,Indo-Aryan,233700000,39000000,272700000
Spanish,Indo-European,Romance,474700000,73600000,548300000
Russian,Indo-European,Balto-Slavic,154000000,104100000,258200000
Urdu,Indo-European,Indo-Aryan,70200000,161000000,231300000
French,Indo-European,Romance,7900000,194200000,274100000
Mandarin Chinese,Sino-Tibetan,Sinitic,929000000,198700000,1118000000
Hindi,Indo-European,Indo-Aryan,343900000,258300000,602200000
Modern Standard Arabic,Afro-Asiatic,Semitic,0,274000000,274000000
English,Indo-European,Germanic,372900000,1080000000,1452000000
